date,heart_index
2021-10-01,100.0
2021-10-02,100.0
2021-10-03,100.0
2021-10-04,100.0
2021-10-05,100.0
2021-10-06,100.0
2021-10-07,100.0
2021-10-08,100.0
2021-10-09,100.0
2021-10-10,100.0
2021-10-11,100.0
2021-10-12,100.0
2021-10-13,100.0
2021-10-14,100.0
2021-10-15,100.0
2021-10-16,100.0
2021-10-17,100.0
2021-10-18,100.0
2021-10-19,100.0
2021-10-20,100.0
2021-10-21,100.0
2021-10-22,100.0
2021-10-23,100.0
2021-10-24,100.0
2021-10-25,100.0
2021-10-26,100.0
2021-10-27,100.0
2021-10-28,100.0
2021-10-29,100.0
2021-10-30,100.0
2021-10-31,100.0
2021-11-01,100.0
2021-11-02,100.0
2021-11-03,100.0
2021-11-04,100.0
2021-11-05,100.0
2021-11-06,100.0
2021-11-07,100.0
2021-11-08,100.0
2021-11-09,100.0
2021-11-10,100.0
2021-11-11,100.0
2021-11-12,100.0
2021-11-13,100.0
2021-11-14,100.0
2021-11-15,100.0
2021-11-16,100.0
2021-11-17,100.0
2021-11-18,100.0
2021-11-19,100.0
2021-11-20,100.0
2021-11-21,100.0
2021-11-22,100.0
2021-11-23,100.0
2021-11-24,100.0
2021-11-25,100.0
2021-11-26,100.0
2021-11-27,100.0
2021-11-28,100.0
2021-11-29,100.0
2021-11-30,100.0
2021-12-01,100.0
2021-12-02,100.0
2021-12-03,100.0
2021-12-04,100.0
2021-12-05,100.0
2021-12-06,100.0
2021-12-07,100.0
2021-12-08,100.0
2021-12-09,100.0
2021-12-10,100.0
2021-12-11,100.0
2021-12-12,100.0
2021-12-13,100.0
2021-12-14,100.0
2021-12-15,100.0
2021-12-16,100.0
2021-12-17,100.0
2021-12-18,100.0
2021-12-19,100.0
2021-12-20,100.0
2021-12-21,100.0
2021-12-22,100.0
2021-12-23,100.0
2021-12-24,100.0
2021-12-25,100.0
2021-12-26,100.0
2021-12-27,100.0
2021-12-28,100.0
2021-12-29,100.0
2021-12-30,100.0
2021-12-31,100.0
2022-01-01,100.0
2022-01-02,100.0
2022-01-03,100.0
2022-01-04,100.0
2022-01-05,100.0
2022-01-06,100.0
2022-01-07,100.0
2022-01-08,100.0
2022-01-09,100.0
2022-01-10,100.0
2022-01-11,100.0
2022-01-12,100.0
2022-01-13,100.0
2022-01-14,100.0
2022-01-15,100.0
2022-01-16,100.0
2022-01-17,100.0
2022-01-18,100.0
2022-01-19,100.0
2022-01-20,100.0
2022-01-21,100.0
2022-01-22,100.0
2022-01-23,100.0
2022-01-24,100.0
2022-01-25,100.0
2022-01-26,100.0
2022-01-27,100.0
2022-01-28,100.0
2022-01-29,100.0
2022-01-30,100.0
2022-01-31,100.0
2022-02-01,100.0
2022-02-02,100.0
2022-02-03,100.0
2022-02-04,100.0
2022-02-05,100.0
2022-02-06,100.0
2022-02-07,100.0
2022-02-08,100.0
2022-02-09,100.0
2022-02-10,100.0
2022-02-11,100.0
2022-02-12,100.0
2022-02-13,100.0
2022-02-14,100.0
2022-02-15,100.0
2022-02-16,100.0
2022-02-17,100.0
2022-02-18,100.0
2022-02-19,100.0
2022-02-20,100.0
2022-02-21,100.0
2022-02-22,100.0
2022-02-23,100.0
2022-02-24,100.0
2022-02-25,100.0
2022-02-26,100.0
2022-02-27,100.0
2022-02-28,100.0
2022-03-01,100.0
2022-03-02,100.0
2022-03-03,100.0
2022-03-04,100.0
2022-03-05,100.0
2022-03-06,100.0
2022-03-07,100.0
2022-03-08,100.0
2022-03-09,100.0
2022-03-10,100.0
2022-03-11,100.0
2022-03-12,100.0
2022-03-13,100.0
2022-03-14,100.0
2022-03-15,100.0
2022-03-16,100.0
2022-03-17,100.0
2022-03-18,100.0
2022-03-19,100.0
2022-03-20,100.0
2022-03-21,100.0
2022-03-22,100.0
2022-03-23,100.0
2022-03-24,100.0
2022-03-25,100.0
2022-03-26,100.0
2022-03-27,100.0
2022-03-28,100.0
2022-03-29,100.0
2022-03-30,100.0
2022-03-31,100.0
2022-04-01,100.0
2022-04-02,100.0
2022-04-03,100.0
2022-04-04,100.0
2022-04-05,100.0
2022-04-06,100.0
2022-04-07,100.0
2022-04-08,100.0
2022-04-09,100.0
2022-04-10,100.0
2022-04-11,100.0
2022-04-12,100.0
2022-04-13,100.0
2022-04-14,100.0
2022-04-15,100.0
2022-04-16,100.0
2022-04-17,100.0
2022-04-18,100.0
2022-04-19,100.0
2022-04-20,100.0
2022-04-21,100.0
2022-04-22,100.0
2022-04-23,100.0
2022-04-24,100.0
2022-04-25,100.0
2022-04-26,100.0
2022-04-27,100.0
2022-04-28,100.0
2022-04-29,100.0
2022-04-30,100.0
2022-05-01,100.0
2022-05-02,100.0
2022-05-03,100.0
2022-05-04,100.0
2022-05-05,100.0
2022-05-06,100.0
2022-05-07,100.0
2022-05-08,100.0
2022-05-09,100.0
2022-05-10,100.0
2022-05-11,100.0
2022-05-12,100.0
2022-05-13,100.0
2022-05-14,100.0
2022-05-15,100.0
2022-05-16,100.0
2022-05-17,100.0
2022-05-18,100.0
2022-05-19,100.0
2022-05-20,100.0
2022-05-21,100.0
2022-05-22,100.0
2022-05-23,100.0
2022-05-24,100.0
2022-05-25,100.0
2022-05-26,100.0
2022-05-27,100.0
2022-05-28,100.0
2022-05-29,100.0
2022-05-30,100.0
